BLE Address: 842B55B99BD400
"time	ax	ay	az	gx	gy	gz	mx	my	mz"
"03/06/2025 11:24:15.892	0.97966	-0.1586	0.221552	3.675	-2.17	-4.13	-0.615	-1.0845	-0.2745"
"03/06/2025 11:24:15.912	0.979172	-0.157868	0.218624	4.165	-1.89	-4.2	-0.6195	-1.0845	-0.264"
"03/06/2025 11:24:15.932	0.972828	-0.155184	0.219112	3.71	-1.435	-3.115	-0.6105	-1.0965	-0.2715"
"03/06/2025 11:24:15.952	0.978684	-0.1586	0.215696	2.835	-0.945	-2.415	-0.6105	-1.0965	-0.2715"
"03/06/2025 11:24:15.972	0.976732	-0.15982	0.221064	3.045	-0.315	-1.855	-0.603	-1.095	-0.2865"
"03/06/2025 11:24:15.992	0.976732	-0.154452	0.219356	3.92	-0.385	-2.765	-0.6045	-1.0905	-0.279"
"03/06/2025 11:24:16.012	0.980392	-0.159332	0.21472	4.2	-1.015	-3.325	-0.6135	-1.0905	-0.282"
"03/06/2025 11:24:16.032	0.977952	-0.159576	0.207888	4.69	-1.82	-2.555	-0.6135	-1.0845	-0.276"
"03/06/2025 11:24:16.052	0.978928	-0.1708	0.212768	6.09	-1.855	-1.505	-0.609	-1.0905	-0.2955"
"03/06/2025 11:24:16.072	0.97112	-0.172752	0.216184	6.685	-1.505	-0.595	-0.597	-1.086	-0.285"
"03/06/2025 11:24:16.092	0.975268	-0.16714	0.222528	7.14	-3.465	-1.645	-0.6165	-1.1025	-0.291"
"03/06/2025 11:24:16.112	0.97234	-0.168604	0.223016	7.63	-4.235	-0.945	-0.6285	-1.095	-0.2715"
"03/06/2025 11:24:16.132	0.995276	-0.175924	0.226432	9.695	-4.725	-1.75	-0.6225	-1.095	-0.279"
"03/06/2025 11:24:16.152	1.014064	-0.171044	0.224968	11.725	-4.48	-1.47	-0.615	-1.0905	-0.27"
"03/06/2025 11:24:16.172	1.009916	-0.131272	0.199104	14.14	-3.885	-0.175	-0.609	-1.095	-0.27"
"03/06/2025 11:24:16.192	1.053836	-0.087596	0.203008	14.035	-4.935	-0.14	-0.6165	-1.0815	-0.2655"
